"Title","Body","Labels","Milestone","Assignee","Estimate (hours)"
"Implement worker threads for parallel case generation","## Task
Improve batch generation performance:
- Use Node.js worker_threads module
- Parallelize case generation
- Implement progress reporting
- Handle errors gracefully

## Acceptance Criteria
- [ ] Worker thread implementation exists
- [ ] Batch generation uses multiple threads
- [ ] Progress is reported during batch
- [ ] 10K cases generate in < 60 seconds
- [ ] Error handling works across threads

## Labels
`backend`, `priority:high`, `epic:sprint-2`

## Estimate
6 hours","backend,priority:high,epic:sprint-2","Sprint 2: Scalability","",6
"Add Redis caching for frequent queries","## Task
Add Redis caching for:
- Frequently accessed cases
- Configuration lookups
- Rate limit tracking
- Common queries

## Acceptance Criteria
- [ ] Redis integration implemented
- [ ] Cache hit/miss metrics logged
- [ ] Cache TTL configured appropriately
- [ ] Cache invalidation works
- [ ] Performance improvement measured

## Labels
`backend`, `database`, `priority:medium`, `epic:sprint-2`

## Estimate
4 hours","backend,database,priority:medium,epic:sprint-2","Sprint 2: Scalability","",4
"Set up monitoring, logging, and error tracking","## Task
Implement observability:
- Structured logging (Winston or Pino)
- Error tracking (Sentry or similar)
- Basic metrics (request counts, errors)
- Health check endpoint

## Acceptance Criteria
- [ ] Structured logging implemented
- [ ] Error tracking is set up
- [ ] Basic metrics are collected
- [ ] Health endpoint includes system status
- [ ] Logs are retained for 30 days

## Labels
`devops`, `backend`, `priority:medium`, `epic:sprint-2`

## Estimate
4 hours","devops,backend,priority:medium,epic:sprint-2","Sprint 2: Scalability","",4
"Deploy static frontend to Cloudflare Pages","## Task
Deploy the React/Vite app to Cloudflare:
- Set up Cloudflare Pages project
- Connect to GitHub repository
- Configure build settings
- Deploy to production

## Acceptance Criteria
- [ ] Cloudflare Pages project exists
- [ ] Connected to GitHub repo
- [ ] Auto-deploys on push to main
- [ ] Site is accessible at Cloudflare URL
- [ ] Build logs are accessible

## Labels
`frontend`, `devops`, `priority:high`, `epic:sprint-2`

## Estimate
2 hours","frontend,devops,priority:high,epic:sprint-2","Sprint 2: Scalability","",2
"Migrate core generator.js to TypeScript","## Task
Convert the main generator to TypeScript:
- Add type definitions for all functions
- Type all interfaces (Case, Truth, Presentation, etc.)
- Configure tsconfig.json
- Fix any type errors

## Acceptance Criteria
- [ ] `tsconfig.json` exists with proper configuration
- [ ] `src/generator.ts` exists (or gradual migration)
- [ ] All major types are defined
- [ ] Build process works with TypeScript
- [ ] No type errors in core paths

## Labels
`frontend`, `backend`, `priority:high`, `epic:sprint-3`

## Estimate
12 hours","frontend,backend,priority:high,epic:sprint-3","Sprint 3: Productization","",12
"Split generator.js into domain-specific modules","## Task
Split the 1820-line generator.js into modules:
- `distributions.ts` - Statistical sampling functions
- `corruption.ts` - Fraud/corruption logic
- `evidence.ts` - Evidence synthesis
- `decision.ts` - Decision engine
- `ledger.ts` - Cash flow ledger logic

## Acceptance Criteria
- [ ] `src/distributions.ts` exists
- [ ] `src/corruption.ts` exists
- [ ] `src/evidence.ts` exists
- [ ] `src/decision.ts` exists
- [ ] `src/ledger.ts` exists
- [ ] All imports work correctly
- [ ] No circular dependencies

## Labels
`backend`, `priority:high`, `epic:sprint-3`

## Estimate
8 hours","backend,priority:high,epic:sprint-3","Sprint 3: Productization","",8
"Remove redundant npm dependencies","## Task
Audit and remove unnecessary dependencies:
- Remove `gaussian` (internal normal sampling exists)
- Remove `random-js` (Mulberry32 PRNG internal)
- Review `mathjs` and `simple-statistics` usage
- Update package.json

## Acceptance Criteria
- [ ] `gaussian` removed from package.json
- [ ] `random-js` removed from package.json
- [ ] Unused functions from mathjs/simple-statistics identified
- [ ] All tests still pass
- [ ] Bundle size reduced

## Labels
`backend`, `devops`, `priority:medium`, `epic:sprint-3`

## Estimate
2 hours","backend,devops,priority:medium,epic:sprint-3","Sprint 3: Productization","",2
"Add Jest/Vitest unit tests for core functions","## Task
Add comprehensive unit tests:
- Test statistical sampling functions
- Test corruption logic
- Test decision engine
- Test ledger accounting
- Aim for >80% coverage

## Acceptance Criteria
- [ ] Jest or Vitest configured
- [ ] Tests for `generateCase()` exist
- [ ] Tests for `corruptPresentation()` exist
- [ ] Tests for `computeDecision()` exist
- [ ] Tests for `simulateMonthlyLedger()` exist
- [ ] Coverage >80%

## Labels
`backend`, `frontend`, `priority:high`, `epic:sprint-3`

## Estimate
8 hours","backend,frontend,priority:high,epic:sprint-3","Sprint 3: Productization","",8
"Add React error boundaries to frontend","## Task
Add error handling to React UI:
- Create error boundary component
- Wrap main app components
- Display user-friendly error messages
- Log errors to console/sentry

## Acceptance Criteria
- [ ] ErrorBoundary component exists
- [ ] Main app is wrapped in ErrorBoundary
- [ ] User-friendly error messages display
- [ ] Errors are logged
- [ ] App doesn't crash on errors

## Labels
`frontend`, `priority:medium`, `epic:sprint-3`

## Estimate
2 hours","frontend,priority:medium,epic:sprint-3","Sprint 3: Productization","",2
"Build web dashboard for case configuration","## Task
Create a web-based configuration UI:
- Form for generating individual cases
- Form for batch generation
- Configuration preset management
- Export options (JSON, CSV)

## Acceptance Criteria
- [ ] Configuration form works
- [ ] Case generation works from UI
- [ ] Batch generation form works
- [ ] Presets can be saved/loaded
- [ ] Export options work

## Labels
`frontend`, `enhancement`, `priority:medium`, `epic:sprint-3`

## Estimate
8 hours","frontend,enhancement,priority:medium,epic:sprint-3","Sprint 3: Productization","",8
"Extend generator to support auto, personal, commercial loans","## Task
Add support for additional loan types:
- Auto loan configurations
- Personal loan configurations
- Commercial loan configurations
- Loan-type-specific parameters
- Updated UI to select loan type

## Acceptance Criteria
- [ ] `loan_type` parameter accepts: MORTGAGE, AUTO, PERSONAL, COMMERCIAL
- [ ] Each loan type has appropriate parameters
- [ ] Decision engine handles all loan types
- [ ] UI allows loan type selection
- [ ] Documentation updated

## Labels
`backend`, `enhancement`, `priority:high`, `epic:sprint-4`

## Estimate
8 hours","backend,enhancement,priority:high,epic:sprint-4","Sprint 4: Advanced Features","",8
"Add charts and visualizations to UI","## Task
Add visualization using Chart.js or similar:
- Distribution histograms (age, salary, credit score)
- Correlation heatmap
- Fraud pattern breakdown
- Decision outcome pie chart
- Time series for batch generation

## Acceptance Criteria
- [ ] Chart.js or similar library added
- [ ] Salary distribution chart works
- [ ] Credit score distribution chart works
- [ ] Fraud type breakdown chart works
- [ ] Decision outcome chart works
- [ ] Charts are responsive

## Labels
`frontend`, `enhancement`, `priority:medium`, `epic:sprint-4`

## Estimate
6 hours","frontend,enhancement,priority:medium,epic:sprint-4","Sprint 4: Advanced Features","",6
"Create UI for custom fraud pattern configuration","## Task
Allow users to create custom fraud patterns:
- UI form for defining new corruption types
- Backend validation
- Save custom patterns to database
- Apply custom patterns to generation

## Acceptance Criteria
- [ ] Custom fraud pattern form exists
- [ ] Patterns are validated
- [ ] Patterns saved to database
- [ ] Patterns can be applied to generation
- [ ] Patterns can be shared/exported

## Labels
`frontend`, `backend`, `enhancement`, `priority:medium`, `epic:sprint-4`

## Estimate
8 hours","frontend,backend,enhancement,priority:medium,epic:sprint-4","Sprint 4: Advanced Features","",8
"Add versioning system for generated datasets","## Task
Track dataset versions:
- Version number for each dataset
- Changelog between versions
- Reproduce old datasets from version + seed
- List version history

## Acceptance Criteria
- [ ] Datasets have version numbers
- [ ] Version history is stored
- [ ] Old versions can be reproduced
- [ ] Version changes are logged
- [ ] API returns version info

## Labels
`backend`, `database`, `priority:medium`, `epic:sprint-4`

## Estimate
4 hours","backend,database,priority:medium,epic:sprint-4","Sprint 4: Advanced Features","",4
"Implement tiered rate limiting for API","## Task
Add rate limiting with tiers:
- Free tier: 1000 requests/hour
- Pro tier: 10000 requests/hour
- Enterprise: custom
- Track usage per API key

## Acceptance Criteria
- [ ] Rate limiting implemented
- [ ] Free tier limits enforced
- [ ] Pro tier limits enforced
- [ ] Usage is tracked per key
- [ ] Rate limit headers included in responses

## Labels
`backend`, `devops`, `priority:high`, `epic:sprint-4`

## Estimate
4 hours","backend,devops,priority:high,epic:sprint-4","Sprint 4: Advanced Features","",4
"Deploy complete application to production","## Task
Full production deployment:
- Cloudflare Pages for frontend
- Cloudflare Workers for API
- PostgreSQL database
- Custom domain configured
- SSL certificates
- Monitoring setup

## Acceptance Criteria
- [ ] Frontend deployed to production
- [ ] API deployed to production
- [ ] Database in production
- [ ] Custom domain works
- [ ] SSL certificates valid
- [ ] Monitoring is active

## Labels
`devops`, `priority:high`, `epic:sprint-4`

## Estimate
4 hours","devops,priority:high,epic:sprint-4","Sprint 4: Advanced Features","",4
